premise,hypothesis,label
"Experienced with Terraform, AWS, and Docker","Candidate has cloud skills",entailment
"Skilled in HTML, CSS, and React","Candidate has backend skills",contradiction
"Worked with SQL and PostgreSQL","Candidate has database knowledge",entailment
"Implemented CI/CD pipelines with Jenkins and GitHub Actions for microservices deployment.","This candidate works in DevOps.",entailment
"Containerized applications using Docker and managed clusters via Kubernetes on AWS EKS.","This candidate is skilled in container orchestration, cloud and DevOps",entailment
"Designed infrastructure as code using Terraform to provision AWS EC2, S3, RDS resources.","This candidate is experienced in cloud infrastructure.",entailment
"Led frontend development with React and TypeScript, built reusable components.","This candidate is a frontend developer.",entailment
"Built RESTful APIs and GraphQL endpoints using Node.js with Express.js.","This candidate works in backend development.",entailment
"Transformed a Django monolith to FastAPI microservices for performance.","This candidate is backend engineer.",entailment
"Configured Prometheus, Grafana dashboards for metrics and logs.","This candidate is skilled in observability.",entailment
"Set up ELK stack (Elasticsearch, Logstash, Kibana) for log aggregation.","This candidate handles log management.",entailment
"Built asynchronous task queues with Celery backed by RabbitMQ.","This candidate develops distributed systems.",entailment
"Created data pipelines in Apache Airflow and ETL flows to Snowflake.","This candidate works in data engineering.",entailment
"Generated BI dashboards using Power BI and Tableau for executive reporting.","This candidate is a BI analyst.",entailment
"Secured REST APIs using OAuth2, JWT tokens, and RBAC.","This candidate specializes in API security.",entailment
"Developed microservices architecture in microservices using Java Spring Boot.","This candidate is a backend developer.",entailment
"Automated infrastructure provisioning with Ansible and CI/CD pipelines.","This candidate works in DevOps.",entailment
"Implemented serverless functions using AWS Lambda to process S3 events.","This candidate has cloud function experience.",entailment
"Worked with Redis and PostgreSQL to optimize read/write performance.","This candidate is a database engineer.",entailment
"Applied Agile-Scrum methodologies and managed sprints using JIRA.","This candidate works in Agile project management.",entailment
"Built developer portal using Backstage to standardize microservice onboarding.","This candidate focuses on developer experience tooling.",entailment
"Wrote unit tests with pytest and embedded coverage thresholds.","This candidate practices test‑driven development.",entailment
"Led inner source initiatives to share code across multiple teams.","This candidate advocates collaborative engineering.",entailment
"Experimenting in Rust to write performant systems utilities.","This candidate codes in systems programming languages.",entailment
"Explored LLM orchestration using LangChain for chatbot development.","This candidate works with LLM pipelines.",entailment
"I play guitar in a band every weekend.","This candidate is a backend developer.",contradiction
"Organizes charity events using Excel spreadsheets.","This candidate works in cloud engineering.",neutral
"Loves photography and travels to remote locations for inspiration.","This candidate specializes in data science.",contradiction
"Built and deployed containerized applications using Docker and Kubernetes on GCP.","This candidate is skilled in container orchestration and cloud. Maybe DevOps",entailment
"Developed a distributed system using Apache Kafka for real-time event streaming.","This candidate works in distributed systems.",entailment
"Wrote automation scripts using Python and Bash to streamline DevOps tasks.","This candidate is experienced in DevOps scripting.",entailment
"Configured and monitored AWS CloudWatch for system metrics.","This candidate is skilled in cloud monitoring.",entailment
"Trained deep learning models with PyTorch for image classification.","This candidate works in machine learning.",entailment
"Created a recommendation engine using collaborative filtering.","This candidate is a data scientist.",entailment
"Migrated legacy systems to a microservices architecture using Go.","This candidate is a software engineer.",entailment
"Integrated CI/CD pipelines using CircleCI for test automation.","This candidate is experienced in CI/CD.",entailment
"Built a real-time dashboard with WebSocket and D3.js.","This candidate works in frontend development.",entailment
"Secured web applications using HTTPS, CORS, and CSP policies.","This candidate is skilled in web security.",entailment
"Volunteered at an animal shelter on weekends.","This candidate works in cloud computing.",contradiction
"Paints landscapes and exhibits artwork in local galleries.","This candidate is a DevOps engineer.",contradiction
"Manages a small bakery and creates new pastry recipes.","This candidate specializes in backend development.",contradiction
"Trained as a classical pianist and performs recitals.","This candidate is a machine learning engineer.",contradiction
"Writes poetry and leads a local writer's group.","This candidate is experienced in microservices.",contradiction
"Organized neighborhood watch programs and community events.","This candidate is a frontend developer.",contradiction
"Enjoys mountain biking and wilderness survival.","This candidate builds distributed systems.",neutral
"Practices meditation and mindfulness daily.","This candidate is a database administrator.",neutral
"Travels frequently to study indigenous languages.","This candidate is skilled in cloud infrastructure.",neutral
"Makes documentary films on social justice topics.","This candidate works in software engineering.",neutral

"Built RESTful APIs using Django and PostgreSQL","The candidate has backend development experience",entailment
"Designed responsive UIs with React and Tailwind CSS","The candidate has frontend development skills",entailment
"Created data pipelines with Apache Airflow and Snowflake","The candidate has data engineering experience",entailment
"Implemented server-side logic with Node.js and MongoDB","The candidate has backend experience",entailment
